,power,scenario,key,val
0,ENG,random_np,1,44.0
1,AUS,random_np,1,52.0
2,ITA,random_np,1,36.0
3,FRA,random_np,1,52.0
4,GER,random_np,1,43.0
5,RUS,random_np,1,59.0
6,TUR,random_np,1,53.0
7,ENG,random_np,2,0.0
8,AUS,random_np,2,14.0
9,ITA,random_np,2,1.0
10,FRA,random_np,2,3.0
11,GER,random_np,2,4.0
12,RUS,random_np,2,15.0
13,TUR,random_np,2,1.0
14,ENG,random_np,3,44.0
15,AUS,random_np,3,38.0
16,ITA,random_np,3,35.0
17,FRA,random_np,3,49.0
18,GER,random_np,3,39.0
19,RUS,random_np,3,44.0
20,TUR,random_np,3,52.0
21,ENG,random_np,4,0.0
22,AUS,random_np,4,74.28571428571429
23,ITA,random_np,4,69.0
24,FRA,random_np,4,76.66666666666667
25,GER,random_np,4,62.25
26,RUS,random_np,4,62.2
27,TUR,random_np,4,85.0
28,ENG,random_np,5,100.0
29,AUS,random_np,5,100.0
30,ITA,random_np,5,100.0
31,FRA,random_np,5,100.0
32,GER,random_np,5,100.0
33,RUS,random_np,5,100.0
34,TUR,random_np,5,100.0
35,ENG,Germ_Ital_LSP,1,0.0
36,AUS,Germ_Ital_LSP,1,0.0
37,ITA,Germ_Ital_LSP,1,23.0
38,FRA,Germ_Ital_LSP,1,0.0
39,GER,Germ_Ital_LSP,1,77.0
40,RUS,Germ_Ital_LSP,1,0.0
41,TUR,Germ_Ital_LSP,1,0.0
42,ENG,Germ_Ital_LSP,2,0.0
43,AUS,Germ_Ital_LSP,2,0.0
44,ITA,Germ_Ital_LSP,2,23.0
45,FRA,Germ_Ital_LSP,2,0.0
46,GER,Germ_Ital_LSP,2,77.0
47,RUS,Germ_Ital_LSP,2,0.0
48,TUR,Germ_Ital_LSP,2,0.0
49,ENG,Germ_Ital_LSP,3,0.0
50,AUS,Germ_Ital_LSP,3,0.0
51,ITA,Germ_Ital_LSP,3,0.0
52,FRA,Germ_Ital_LSP,3,0.0
53,GER,Germ_Ital_LSP,3,0.0
54,RUS,Germ_Ital_LSP,3,0.0
55,TUR,Germ_Ital_LSP,3,0.0
56,ENG,Germ_Ital_LSP,4,0.0
57,AUS,Germ_Ital_LSP,4,0.0
58,ITA,Germ_Ital_LSP,4,42.608695652173914
59,FRA,Germ_Ital_LSP,4,0.0
60,GER,Germ_Ital_LSP,4,34.1948051948052
61,RUS,Germ_Ital_LSP,4,0.0
62,TUR,Germ_Ital_LSP,4,0.0
63,ENG,Germ_Ital_LSP,5,0.0
64,AUS,Germ_Ital_LSP,5,0.0
65,ITA,Germ_Ital_LSP,5,0.0
66,FRA,Germ_Ital_LSP,5,0.0
67,GER,Germ_Ital_LSP,5,0.0
68,RUS,Germ_Ital_LSP,5,0.0
69,TUR,Germ_Ital_LSP,5,0.0
70,ENG,Russ_Germ_LSP,1,0.0
71,AUS,Russ_Germ_LSP,1,0.0
72,ITA,Russ_Germ_LSP,1,0.0
73,FRA,Russ_Germ_LSP,1,0.0
74,GER,Russ_Germ_LSP,1,49.0
75,RUS,Russ_Germ_LSP,1,51.0
76,TUR,Russ_Germ_LSP,1,0.0
77,ENG,Russ_Germ_LSP,2,0.0
78,AUS,Russ_Germ_LSP,2,0.0
79,ITA,Russ_Germ_LSP,2,0.0
80,FRA,Russ_Germ_LSP,2,0.0
81,GER,Russ_Germ_LSP,2,49.0
82,RUS,Russ_Germ_LSP,2,51.0
83,TUR,Russ_Germ_LSP,2,0.0
84,ENG,Russ_Germ_LSP,3,0.0
85,AUS,Russ_Germ_LSP,3,0.0
86,ITA,Russ_Germ_LSP,3,0.0
87,FRA,Russ_Germ_LSP,3,0.0
88,GER,Russ_Germ_LSP,3,0.0
89,RUS,Russ_Germ_LSP,3,0.0
90,TUR,Russ_Germ_LSP,3,0.0
91,ENG,Russ_Germ_LSP,4,0.0
92,AUS,Russ_Germ_LSP,4,0.0
93,ITA,Russ_Germ_LSP,4,0.0
94,FRA,Russ_Germ_LSP,4,0.0
95,GER,Russ_Germ_LSP,4,31.285714285714285
96,RUS,Russ_Germ_LSP,4,31.19607843137255
97,TUR,Russ_Germ_LSP,4,0.0
98,ENG,Russ_Germ_LSP,5,0.0
99,AUS,Russ_Germ_LSP,5,0.0
100,ITA,Russ_Germ_LSP,5,0.0
101,FRA,Russ_Germ_LSP,5,0.0
102,GER,Russ_Germ_LSP,5,0.0
103,RUS,Russ_Germ_LSP,5,0.0
104,TUR,Russ_Germ_LSP,5,0.0
105,ENG,Aus_Ita_LSP,1,0.0
106,AUS,Aus_Ita_LSP,1,89.0
107,ITA,Aus_Ita_LSP,1,11.0
108,FRA,Aus_Ita_LSP,1,1.0
109,GER,Aus_Ita_LSP,1,0.0
110,RUS,Aus_Ita_LSP,1,3.0
111,TUR,Aus_Ita_LSP,1,1.0
112,ENG,Aus_Ita_LSP,2,0.0
113,AUS,Aus_Ita_LSP,2,88.0
114,ITA,Aus_Ita_LSP,2,9.0
115,FRA,Aus_Ita_LSP,2,0.0
116,GER,Aus_Ita_LSP,2,0.0
117,RUS,Aus_Ita_LSP,2,1.0
118,TUR,Aus_Ita_LSP,2,0.0
119,ENG,Aus_Ita_LSP,3,0.0
120,AUS,Aus_Ita_LSP,3,1.0
