,power,scenario,key,val
0,ENG,All_rand_Eng_dip,1,5.0
1,AUS,All_rand_Eng_dip,1,0.0
2,ITA,All_rand_Eng_dip,1,0.0
3,FRA,All_rand_Eng_dip,1,0.0
4,GER,All_rand_Eng_dip,1,0.0
5,RUS,All_rand_Eng_dip,1,0.0
6,TUR,All_rand_Eng_dip,1,0.0
7,ENG,All_rand_Eng_dip,2,5.0
8,AUS,All_rand_Eng_dip,2,0.0
9,ITA,All_rand_Eng_dip,2,0.0
10,FRA,All_rand_Eng_dip,2,0.0
11,GER,All_rand_Eng_dip,2,0.0
12,RUS,All_rand_Eng_dip,2,0.0
13,TUR,All_rand_Eng_dip,2,0.0
14,ENG,All_rand_Eng_dip,3,0.0
15,AUS,All_rand_Eng_dip,3,0.0
16,ITA,All_rand_Eng_dip,3,0.0
17,FRA,All_rand_Eng_dip,3,0.0
18,GER,All_rand_Eng_dip,3,0.0
19,RUS,All_rand_Eng_dip,3,0.0
20,TUR,All_rand_Eng_dip,3,0.0
21,ENG,All_rand_Eng_dip,4,6.0
22,AUS,All_rand_Eng_dip,4,0.0
23,ITA,All_rand_Eng_dip,4,0.0
24,FRA,All_rand_Eng_dip,4,0.0
25,GER,All_rand_Eng_dip,4,0.0
26,RUS,All_rand_Eng_dip,4,0.0
27,TUR,All_rand_Eng_dip,4,0.0
28,ENG,All_rand_Eng_dip,5,0.0
29,AUS,All_rand_Eng_dip,5,0.0
30,ITA,All_rand_Eng_dip,5,0.0
31,FRA,All_rand_Eng_dip,5,0.0
32,GER,All_rand_Eng_dip,5,0.0
33,RUS,All_rand_Eng_dip,5,0.0
34,TUR,All_rand_Eng_dip,5,0.0
